timestamp,F_close,BA_close,RTN_close,VLO_close,AAL_close,CI_close,IBM_close,PG_close
2018-10-29,9.28,335.59,168.35,87.38,32.6,206.87,119.64,88.24
2018-10-26,8.98,359.27,176.89,85.79,32.46,206.69,124.79,87.86
2018-10-25,8.99,363.77,176.52,87.38,32.37,210.37,126.45,89.0
2018-10-24,8.18,354.65,182.11,86.69,30.34,201.92,127.21,89.46
2018-10-23,8.59,350.05,191.38,91.66,32.38,210.34,131.21,87.16
2018-10-22,8.41,355.98,191.1,92.85,32.16,208.8,130.02,86.6
2018-10-19,8.5,356.26,191.01,92.76,32.04,210.0,129.1,87.3
2018-10-18,8.51,359.35,191.66,103.39,32.06,212.74,130.55,80.24
2018-10-17,8.76,365.5,193.12,103.74,33.57,211.2,134.05,81.86
2018-10-16,8.8,368.25,195.92,105.91,33.28,211.96,145.12,81.01
2018-10-15,8.81,358.88,192.26,103.79,31.78,203.92,141.13,80.13
2018-10-12,8.64,360.11,191.69,108.25,30.91,207.09,140.85,79.06
2018-10-11,8.81,358.11,190.99,106.89,31.27,206.0,139.02,78.87
2018-10-10,8.82,367.47,197.6,110.84,31.61,209.97,142.69,81.44
2018-10-09,8.95,385.44,204.59,115.66,33.55,214.04,147.24,82.2
2018-10-08,9.26,385.77,206.82,116.18,35.9,212.9,148.39,82.4
2018-10-05,9.12,386.47,206.75,117.11,36.44,215.72,149.03,82.15
2018-10-04,9.15,389.99,208.21,117.22,37.92,212.62,151.31,81.92
2018-10-03,9.13,392.3,206.97,119.99,38.8,212.33,153.22,83.03
2018-10-02,9.2,386.37,208.04,115.52,38.5,210.59,153.75,84.36
2018-10-01,9.32,382.29,207.51,113.88,39.61,210.93,153.0,83.67
2018-09-28,9.25,371.9,206.66,113.75,41.33,208.25,151.21,83.23
2018-09-27,9.23,367.39,205.94,115.29,41.5,206.35,151.5,82.86
2018-09-26,9.27,365.03,205.24,116.52,41.04,202.43,151.61,83.26
2018-09-25,9.39,367.23,205.18,116.76,40.81,201.5,148.91,83.12
2018-09-24,9.59,367.99,202.36,114.96,41.98,203.24,150.03,84.27
2018-09-21,9.85,372.23,203.46,112.24,43.6,202.23,151.35,85.82
2018-09-20,9.81,367.46,200.81,110.48,41.89,201.33,151.15,85.36
2018-09-19,9.78,365.22,205.17,109.7,41.6,199.19,149.06,84.0
2018-09-18,9.58,363.58,207.9,115.33,40.79,200.07,148.56,84.0
2018-09-17,9.55,355.96,205.01,115.46,40.32,197.84,147.94,84.25
2018-09-14,9.45,359.8,203.16,117.13,39.74,195.11,148.33,83.61
2018-09-13,9.37,355.46,200.83,116.83,39.48,193.21,148.95,83.45
2018-09-12,9.34,353.41,198.35,116.31,39.26,186.89,146.57,83.11
2018-09-11,9.31,345.25,197.53,115.1,40.18,184.87,146.49,82.01
2018-09-10,9.38,341.86,199.18,115.25,39.43,186.36,145.65,82.38
2018-09-07,9.27,349.28,200.38,115.08,38.43,188.59,145.45,81.91
2018-09-06,9.43,351.27,202.21,116.07,38.48,185.18,146.39,82.65
2018-09-05,9.49,346.68,198.03,116.91,39.67,184.93,146.66,83.29
2018-09-04,9.47,346.25,198.34,120.24,40.77,186.07,145.68,82.7
2018-08-31,9.48,342.79,199.44,117.88,40.48,188.34,146.48,82.95
2018-08-30,9.7,346.9,199.17,119.05,40.4,189.8,145.93,83.41
2018-08-29,9.97,350.19,200.06,120.61,40.5,190.46,147.54,83.49
2018-08-28,10.01,351.21,200.07,120.39,40.69,187.96,146.59,83.48
2018-08-27,9.99,353.74,201.48,121.21,39.52,187.0,146.69,83.44
2018-08-24,9.68,349.38,200.08,120.55,38.82,185.72,146.04,83.36
2018-08-23,9.63,347.48,198.18,118.06,38.83,185.8,145.37,83.24
2018-08-22,9.69,350.03,199.41,115.68,39.19,186.36,145.24,83.39
2018-08-21,9.86,353.77,200.6,114.14,40.33,186.05,145.97,83.9
2018-08-20,9.72,350.74,200.45,113.4,39.99,187.89,146.51,83.64
2018-08-17,9.55,346.4,199.09,111.0,37.79,188.34,146.06,83.69
2018-08-16,9.51,345.98,198.51,111.32,38.16,188.19,145.34,83.69
2018-08-15,9.45,331.76,194.93,111.52,37.44,185.48,143.91,82.3
2018-08-14,9.5,339.14,197.56,115.05,37.09,185.3,143.36,81.31
2018-08-13,9.46,338.36,196.1,114.79,36.79,181.76,142.71,81.52
2018-08-10,9.74,339.41,196.35,115.37,37.26,183.28,144.48,81.43
2018-08-09,9.91,343.72,196.1,115.14,37.92,185.42,144.77,81.4
2018-08-08,10.05,347.78,197.52,115.9,38.38,189.46,146.89,82.35
2018-08-07,10.08,350.76,197.39,116.71,38.26,188.27,147.01,82.64
2018-08-06,10.03,346.57,196.16,114.89,38.41,187.86,146.03,82.52
2018-08-03,10.04,348.44,195.8,115.38,38.42,189.25,147.7,82.33
2018-08-02,9.92,349.73,197.17,115.33,37.93,188.9,142.96,82.0
2018-08-01,9.9,352.76,197.35,116.78,38.14,182.93,143.5,80.65
2018-07-31,10.04,356.3,198.03,118.35,39.54,179.42,144.93,80.88
2018-07-30,10.07,351.06,193.43,117.26,38.97,176.8,145.49,80.2
2018-07-27,9.93,360.65,196.18,116.35,39.69,177.25,145.15,80.58
2018-07-26,9.89,359.32,192.43,116.83,40.02,177.94,146.71,80.09
2018-07-25,10.52,355.92,197.56,109.33,38.19,177.5,146.62,79.47
2018-07-24,10.57,358.27,196.99,107.27,37.45,176.43,146.38,78.99
2018-07-23,10.47,353.27,196.71,106.28,38.04,177.42,145.7,78.51
2018-07-20,10.56,354.9,201.44,106.21,37.88,178.09,146.35,78.68
2018-07-19,10.82,355.33,201.37,107.0,38.13,175.9,149.24,78.73
2018-07-18,10.87,360.23,201.52,106.65,38.37,177.75,144.52,79.72
2018-07-17,10.86,356.88,200.24,106.09,37.38,170.71,143.49,80.03
2018-07-16,10.85,356.1,199.61,106.3,37.28,172.35,145.46,79.53
2018-07-13,10.98,350.79,199.75,107.34,37.12,173.09,145.9,79.31
